;No.;Time;Source;Destination;Protocol;Length;Info
138;139;155.439049104;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 45564  >  143 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
139;140;155.439204876;10.0.2.15;10.0.2.5;TCP;66;[TCP Dup ACK 112#1] 34154  >  139 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757175 TSecr=725401
140;141;155.439256693;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 36642  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
141;142;155.439412364;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 40556  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
142;143;155.439561985;10.0.2.5;10.0.2.15;TCP;74;21  >  58338 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725403 TSecr=2552757175 WS=64
143;144;155.439562175;10.0.2.5;10.0.2.15;TCP;60;143  >  45564 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
144;145;155.439682631;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 55082  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
145;146;155.439758352;10.0.2.5;10.0.2.15;TCP;60;256  >  36642 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
146;147;155.439758443;10.0.2.5;10.0.2.15;TCP;74;445  >  40556 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725403 TSecr=2552757175 WS=64
147;148;155.439846698;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 57342  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
148;149;155.439941225;10.0.2.5;10.0.2.15;TCP;60;199  >  55082 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
149;150;155.440004504;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 40428  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
150;151;155.44011904799999;10.0.2.5;10.0.2.15;TCP;74;22  >  57342 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725403 TSecr=2552757175 WS=64
151;152;155.440158562;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 46496  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
152;153;155.44026414;10.0.2.5;10.0.2.15;TCP;60;3389  >  40428 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
153;154;155.440359549;10.0.2.5;10.0.2.15;TCP;60;113  >  46496 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
154;155;155.440374797;10.0.2.15;10.0.2.5;TCP;66;34154  >  139 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757176 TSecr=725401
155;156;155.44052995799998;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 32980  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128
156;157;155.440672765;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 46094  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128
157;158;155.440785126;10.0.2.5;10.0.2.15;TCP;74;5900  >  32980 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725403 TSecr=2552757176 WS=64
158;159;155.440864044;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 54028  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128
159;160;155.4409369;10.0.2.5;10.0.2.15;TCP;60;135  >  46094 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
160;161;155.441029985;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 44320  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128
161;162;155.441122578;10.0.2.5;10.0.2.15;TCP;60;8888  >  54028 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
